date,close,down_ratio,factor_ma,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2021-01-04,5712.1841,0.2732859354891125,,0,0,,,1.0,1.0
2021-01-05,5780.6687,0.3963457935539576,,0,0,0.011989214423253625,0.0,1.0119892144232536,1.0
2021-01-06,5791.312,0.5120175796292189,,0,0,0.0018411883732412093,0.0,1.0138524771986952,1.0
2021-01-07,5819.752,0.4289625306008166,,0,0,0.00491080432206048,0.0,1.0188313083256544,1.0
2021-01-08,5804.6007,0.5181054866048337,,0,0,-0.0026034270876148513,-0.0,1.0161788552998492,1.0
2021-01-11,5726.6583,0.6174482762444298,,0,0,-0.013427693656860806,-0.0,1.0025339169303034,1.0
2021-01-12,5851.0088,0.2104095246469849,,0,0,0.021714321596593145,0.0,1.0243032608140201,1.0
2021-01-13,5812.2742,0.536803820122258,,0,0,-0.00662015753591072,-0.0,1.0175222118628842,1.0
2021-01-14,5735.211,0.6231454805952658,,0,0,-0.013258700011090307,-0.0,1.0040311901011731,1.0
2021-01-15,5740.2818,0.4799321108357439,,0,0,0.0008841523005866936,0.0,1.004918906587762,1.0
2021-01-18,5817.5207,0.2453428906546986,,0,0,0.013455593765449025,0.0,1.0184406871620262,1.0
2021-01-19,5755.5835,0.6236623886300391,,0,0,-0.010646666027333662,-0.0,1.0075976892971639,1.0
2021-01-20,5804.3862,0.3451103794097646,,0,0,0.008479192422453874,0.0,1.0161413039891345,1.0
2021-01-21,5884.7249,0.2839758601006628,,0,0,0.013841032838235456,0.0,1.0302057491459355,1.0
2021-01-22,5885.3459,0.498418621172388,,0,0,0.00010552744785052859,0.0,1.0303144641294038,1.0
2021-01-25,5902.0349,0.4906052275145989,,0,0,0.002835687193848635,0.0,1.0332361136609725,1.0
2021-01-26,5791.2593,0.7010607000346231,,0,0,-0.01876905200950263,-0.0,1.0138432513055733,1.0
2021-01-27,5805.7559,0.461385027754122,,0,0,0.0025031861377715625,0.0,1.0163810896781147,1.0
2021-01-28,5665.264,0.8071644133905685,,0,0,-0.024198726646430302,-0.0,0.991785961520393,1.0
2021-01-29,5615.5745,0.6349637542524674,,0,0,-0.008770906351407537,-0.0,0.983087099731257,1.0
