threshold,年化收益率,夏普比率,最大回撤,收益回撤比,胜率,累计收益率,年换手(单位),平均持仓绝对值
0.5,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.51,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.52,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.53,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.54,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.55,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.56,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.57,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.58,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.59,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.6,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.61,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.62,0.20120140716347956,1.546960011613969,0.11041049063339414,1.8223033518757439,0.17387755102040817,1.4379309842659942,110,0.3254486133768352
0.0,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.01,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.02,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.03,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.04,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.05,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.06,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.07,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.08,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.09,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.1,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.11,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
