date,open,close,9M_minus_1M,factor_ma,factor_prev,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2022-05-05,4630.0437,4676.8468,1.370000000000001,,,0,0,0,0,0.0,,,1.0,1.0,
2022-05-06,4574.7768,4580.5537,-0.6699999999999982,,,0,0,0,0,0.0,-0.0,-0.020589320992939086,0.9794106790070609,1.0,-0.020589320992939086
2022-05-09,4561.4561,4587.4413,-0.870000000000001,,,0,0,0,0,0.0,0.0,0.001503661009366608,0.9808833806572411,1.0,0.001503661009366608
2022-05-10,4523.8766,4651.7187,0.3299999999999983,,,0,0,0,0,0.0,0.0,0.014011601630739001,0.9946271278332229,1.0,0.014011601630739001
2022-05-11,4654.4629,4703.8688,0.35999999999999943,0.10399999999999991,,0,0,0,0,0.0,0.0,0.011210931563853999,1.0057778244949138,1.0,0.011210931563853999
2022-05-12,4675.5231,4704.5158,0.45000000000000284,-0.07999999999999971,,0,0,0,0,0.0,0.0,0.00013754635333373955,1.005916165566937,1.0,0.00013754635333373955
2022-05-13,4728.4854,4739.1925,0.7899999999999991,0.21199999999999974,,0,0,0,0,0.0,0.0,0.007370939215466166,1.0133307124791857,1.0,0.007370939215466166
2022-05-16,4770.4438,4721.8011,0.35999999999999943,0.45799999999999985,,0,0,0,0,0.0,-0.0,-0.003669696894565977,1.0096120959104324,1.0,-0.003669696894565977
2022-05-17,4723.7603,4759.935,0.9299999999999997,0.5780000000000001,,0,0,0,0,0.0,0.0,0.008076134337806185,1.0177658588260792,1.0,0.008076134337806185
2022-05-18,4765.8488,4755.4625,1.1099999999999994,0.7280000000000001,,0,0,0,0,0.0,-0.0,-0.0009396136711952163,1.0168095521110505,1.0,-0.0009396136711952163
2022-05-19,4687.8644,4778.5435,0.7800000000000011,0.7939999999999998,,0,0,0,0,0.0,0.0,0.0048535762820125505,1.0217447148365004,1.0,0.0048535762820125505
2022-05-20,4799.5145,4857.2587,0.9899999999999984,0.8339999999999996,,0,0,0,0,0.0,0.0,0.01647263439163016,1.0385755419655824,1.0,0.01647263439163016
2022-05-23,4865.2065,4868.5237,1.7600000000000016,1.114,,0,0,0,0,0.0,0.0,0.0023192093927382196,1.0409842161175773,1.0,0.0023192093927382196
2022-05-24,4868.0475,4714.1331,0.8500000000000014,1.0980000000000003,,0,0,0,0,0.0,-0.0,-0.03171199515779288,1.007972529696718,1.0,-0.03171199515779288
2022-05-25,4712.4957,4769.1358,1.2700000000000031,1.1300000000000012,,0,0,0,0,0.0,0.0,0.011667617106525974,1.0197331672271155,1.0,0.011667617106525974
2022-05-26,4774.8286,4792.1577,1.5300000000000011,1.2800000000000011,,0,0,0,0,0.0,0.0,0.0048272687055797014,1.0246556932333126,1.0,0.0048272687055797014
