date,open,close,total_mv,small_amount,small_full_ratio,factor_ma,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2021-01-04,5632.8679,5712.1841,81998930814171.03,128073441.49,1.5618916029557105e-06,,,0,0,0,0,0.0,,,1.0,1.0
2021-01-05,5691.3423,5780.6687,82868219840979.02,139376993.43,1.6819112766927925e-06,,,0,0,0,0,0.0,0.0,0.011989214423253625,1.0119892144232536,1.0
2021-01-06,5793.436,5791.312,83191194574526.0,131325274.0,1.5785958438468335e-06,,,0,0,0,0,0.0,0.0,0.0018411883732412093,1.0138524771986952,1.0
2021-01-07,5791.3952,5819.752,83618255824736.98,137310917.01,1.6421164930514968e-06,,,0,0,0,0,0.0,0.0,0.00491080432206048,1.0188313083256544,1.0
2021-01-08,5826.0093,5804.6007,83448840068036.98,127216402.26,1.5244837694122379e-06,,,0,0,0,0,0.0,-0.0,-0.0026034270876148513,1.0161788552998492,1.0
2021-01-11,5810.5267,5726.6583,82419122787206.0,133292287.65,1.6172495307204494e-06,,,0,0,0,0,0.0,-0.0,-0.013427693656860806,1.0025339169303034,1.0
2021-01-12,5704.5966,5851.0088,84122875291203.02,119653203.0,1.4223622597991785e-06,,,0,0,0,0,0.0,0.0,0.021714321596593145,1.0243032608140201,1.0
2021-01-13,5860.2993,5812.2742,83721805558751.02,135091104.70999998,1.6135713247990217e-06,,,0,0,0,0,0.0,-0.0,-0.00662015753591072,1.0175222118628842,1.0
2021-01-14,5788.2353,5735.211,82757195818050.0,123783181.94,1.495739200880486e-06,,,0,0,0,0,0.0,-0.0,-0.013258700011090307,1.0040311901011731,1.0
2021-01-15,5731.9143,5740.2818,82894272236900.98,115296133.27000001,1.3908817842142187e-06,,,0,0,0,0,0.0,0.0,0.0008841523005866936,1.004918906587762,1.0
2021-01-18,5724.4291,5817.5207,83772359880667.02,111898650.02,1.3357466613021124e-06,,,0,0,0,0,0.0,0.0,0.013455593765449025,1.0184406871620262,1.0
2021-01-19,5820.6391,5755.5835,83079572888336.0,118498388.15,1.4263239931344984e-06,,,0,0,0,0,0.0,-0.0,-0.010646666027333662,1.0075976892971639,1.0
