date,open,close,total_mv,big_amount,inst_full_ratio,factor,trend,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2021-01-04,5632.8679,5712.1841,81998930814171.03,38920567.09,4.746472509282251e-07,4.746472509282251e-07,,0,0,0,0,0.0,,,1.0,1.0
2021-01-05,5691.3423,5780.6687,82868219840979.02,41663397.019999996,5.027668881985215e-07,5.027668881985215e-07,,0,0,0,0,0.0,0.0,0.011989214423253625,1.0119892144232536,1.0
2021-01-06,5793.436,5791.312,83191194574526.0,37525560.650000006,4.510761125852461e-07,4.510761125852461e-07,,0,0,0,0,0.0,0.0,0.0018411883732412093,1.0138524771986952,1.0
2021-01-07,5791.3952,5819.752,83618255824736.98,38473318.81,4.601066887910182e-07,4.601066887910182e-07,,0,0,0,0,0.0,0.0,0.00491080432206048,1.0188313083256544,1.0
2021-01-08,5826.0093,5804.6007,83448840068036.98,36747309.08,4.4035733810127754e-07,4.4035733810127754e-07,,0,0,0,0,0.0,-0.0,-0.0026034270876148513,1.0161788552998492,1.0
2021-01-11,5810.5267,5726.6583,82419122787206.0,41748681.2,5.06541198063815e-07,5.06541198063815e-07,,0,0,0,0,0.0,-0.0,-0.013427693656860806,1.0025339169303034,1.0
2021-01-12,5704.5966,5851.0088,84122875291203.02,37714657.28,4.4832820025998255e-07,4.4832820025998255e-07,,0,0,0,0,0.0,0.0,0.021714321596593145,1.0243032608140201,1.0
2021-01-13,5860.2993,5812.2742,83721805558751.02,42676984.82,5.097475446829896e-07,5.097475446829896e-07,,0,0,0,0,0.0,-0.0,-0.00662015753591072,1.0175222118628842,1.0
2021-01-14,5788.2353,5735.211,82757195818050.0,36432303.870000005,4.402312513113673e-07,4.402312513113673e-07,,0,0,0,0,0.0,-0.0,-0.013258700011090307,1.0040311901011731,1.0
2021-01-15,5731.9143,5740.2818,82894272236900.98,35241716.44,4.2514054938903116e-07,4.2514054938903116e-07,,0,0,0,0,0.0,0.0,0.0008841523005866936,1.004918906587762,1.0
2021-01-18,5724.4291,5817.5207,83772359880667.02,32112598.45,3.833316680554793e-07,3.833316680554793e-07,,0,0,0,0,0.0,0.0,0.013455593765449025,1.0184406871620262,1.0
2021-01-19,5820.6391,5755.5835,83079572888336.0,32458230.37,3.906884597688753e-07,3.906884597688753e-07,,0,0,0,0,0.0,-0.0,-0.010646666027333662,1.0075976892971639,1.0
2021-01-20,5758.2248,5804.3862,83624742456088.98,27876323.62,3.3335018800969995e-07,3.3335018800969995e-07,,0,0,0,0,0.0,0.0,0.008479192422453874,1.0161413039891345,1.0
2021-01-21,5815.8734,5884.7249,84643878575776.98,35169190.23,4.1549596759693574e-07,4.1549596759693574e-07,,0,0,0,0,0.0,0.0,0.013841032838235456,1.0302057491459355,1.0
2021-01-22,5879.5395,5885.3459,84472624451066.0,36039789.25,4.266446021323444e-07,4.266446021323444e-07,,0,0,0,0,0.0,0.0,0.00010552744785052859,1.0303144641294038,1.0
2021-01-25,5877.8532,5902.0349,84795543555428.98,41365449.53,4.87825748802003e-07,4.87825748802003e-07,,0,0,0,0,0.0,0.0,0.002835687193848635,1.0332361136609725,1.0
2021-01-26,5876.8583,5791.2593,83416857823402.03,32191664.46,3.859131751060617e-07,3.859131751060617e-07,,0,0,0,0,0.0,-0.0,-0.01876905200950263,1.0138432513055733,1.0
2021-01-27,5784.9605,5805.7559,83616216139226.03,27450056.7,3.28286281865398e-07,3.28286281865398e-07,,0,0,0,0,0.0,0.0,0.0025031861377715625,1.0163810896781147,1.0
2021-01-28,5730.2162,5665.264,81772778487787.02,27193830.96,3.325535888946402e-07,3.325535888946402e-07,,0,0,0,0,0.0,-0.0,-0.024198726646430302,0.991785961520393,1.0
2021-01-29,5700.2831,5615.5745,81211286545046.03,28955276.41,3.565425157245745e-07,3.565425157245745e-07,,0,0,0,0,0.0,-0.0,-0.008770906351407537,0.983087099731257,1.0
