date,close,rzmre_total,factor_ma,z,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2021-01-04,5712.1841,123371313764.0,,,0,0,,,1.0,1.0
2021-01-05,5780.6687,129419725602.0,,,0,0,0.011989214423253625,0.0,1.0119892144232536,1.0
2021-01-06,5791.312,112625945762.0,,,0,0,0.0018411883732412093,0.0,1.0138524771986952,1.0
2021-01-07,5819.752,121456750785.0,,,0,0,0.00491080432206048,0.0,1.0188313083256544,1.0
2021-01-08,5804.6007,108823838766.0,,,0,0,-0.0026034270876148513,-0.0,1.0161788552998492,1.0
2021-01-11,5726.6583,118276809012.0,,,0,0,-0.013427693656860806,-0.0,1.0025339169303034,1.0
2021-01-12,5851.0088,116010186951.0,,,0,0,0.021714321596593145,0.0,1.0243032608140201,1.0
2021-01-13,5812.2742,129997031325.0,,,0,0,-0.00662015753591072,-0.0,1.0175222118628842,1.0
2021-01-14,5735.211,112629476736.0,,,0,0,-0.013258700011090307,-0.0,1.0040311901011731,1.0
2021-01-15,5740.2818,99483475124.0,,,0,0,0.0008841523005866936,0.0,1.004918906587762,1.0
2021-01-18,5817.5207,101188909588.0,,,0,0,0.013455593765449025,0.0,1.0184406871620262,1.0
2021-01-19,5755.5835,101829059472.0,,,0,0,-0.010646666027333662,-0.0,1.0075976892971639,1.0
2021-01-20,5804.3862,88937168428.0,,,0,0,0.008479192422453874,0.0,1.0161413039891345,1.0
2021-01-21,5884.7249,112542735477.0,,,0,0,0.013841032838235456,0.0,1.0302057491459355,1.0
2021-01-22,5885.3459,111549464845.0,,,0,0,0.00010552744785052859,0.0,1.0303144641294038,1.0
2021-01-25,5902.0349,124869306148.0,,,0,0,0.002835687193848635,0.0,1.0332361136609725,1.0
2021-01-26,5791.2593,94749944151.0,,,0,0,-0.01876905200950263,-0.0,1.0138432513055733,1.0
2021-01-27,5805.7559,83953587233.0,,,0,0,0.0025031861377715625,0.0,1.0163810896781147,1.0
2021-01-28,5665.264,82710105159.0,,,0,0,-0.024198726646430302,-0.0,0.991785961520393,1.0
2021-01-29,5615.5745,80343405123.0,107738411972.55,,0,0,-0.008770906351407537,-0.0,0.983087099731257,1.0
2021-02-01,5667.7869,72378631450.0,105188777856.85,,0,0,0.009297784224926664,0.0,0.9922276314588672,1.0
2021-02-02,5742.1967,81325273096.0,102784055231.55,,0,0,0.01312854581741596,0.0,1.005254137379781,1.0
2021-02-03,5706.4827,89004034902.0,101602959688.55,,0,0,-0.0062195709875283445,-0.0,0.9990018879118409,1.0
2021-02-04,5660.392,83001467508.0,99680195524.7,,0,0,-0.008076901731429054,-0.0,0.9909330478336649,1.0
2021-02-05,5628.4284,78850430483.0,98181525110.55,,0,0,-0.0056468880600495375,-0.0,0.9853373598375444,1.0
2021-02-08,5702.5332,69989328587.0,95767151089.3,,0,0,0.013166161978715119,0.0,0.998310471120845,1.0
2021-02-09,5826.2763,82011617527.0,94067222618.1,,0,0,0.021699671998402392,0.0,1.019973480896738,1.0
2021-02-10,5918.5922,82137312780.0,91674236690.85,,0,0,0.015844751475311947,0.0,1.0361347072129556,1.0
2021-02-18,5930.6106,117597800121.0,91922652860.1,,0,0,0.0020306180243334637,0.0,1.0382387010250598,1.0
2021-02-19,5977.4226,106226515399.0,92259804873.85,,0,0,0.007893285052301247,0.0,1.0464338150445816,1.0
2021-02-22,5863.7441,134063837401.0,93903551264.5,,0,0,-0.019017979421431574,-0.0,1.0265327582841737,1.0
2021-02-23,5839.8954,92080535544.0,93416125068.1,,0,0,-0.0040671454267589,-0.0,1.0223577002709,1.0
2021-02-24,5727.2327,97936589671.0,93866096130.25,,0,0,-0.01929190375567358,-0.0,1.0026344739134019,1.0
2021-02-25,5729.9131,84706565637.0,92474287638.25,,0,0,0.0004680096200735395,0.0,1.0031037164926107,1.0
2021-02-26,5617.6694,74608964874.0,90627262639.7,,0,0,-0.0195890754433955,-0.0,0.9834538421126865,1.0
2021-03-01,5723.7588,73706192255.0,88069106945.05,,0,0,0.01888494897901971,0.0,1.0020263177442055,1.0
2021-03-02,5665.895,79193688558.0,87291294165.4,,0,0,-0.010109405728277565,-0.0,0.9918964271477173,1.0
2021-03-03,5759.4494,73268022516.0,86757015929.55,,0,0,0.016511848525255113,0.0,1.0082744707055222,1.0
2021-03-04,5611.5937,83098710723.0,86776446207.75,-1.336344329171473,-1,0,-0.025671846340033833,-0.0,0.9823902034249912,1.0
2021-03-05,5607.5509,72335239669.0,86376037935.05,-1.3476757228628384,-1,-1,-0.0007204370480350386,-0.0003,0.9816824531268171,0.9997
2021-03-08,5446.469,83427432256.0,86928477975.35,-1.1887606433811553,-1,-1,-0.028725891725744357,0.028725891725744357,0.953482749269233,1.0284172739582267
2021-03-09,5317.1495,75789294918.0,86651679066.45,-1.1805548970652109,-1,-1,-0.023743731948166702,0.023743731948166702,0.9308435104533833,1.052835738041955
2021-03-10,5321.8715,55347392883.0,84968846965.5,-1.4871999983722863,-1,-1,0.0008880698201170212,-0.0008880698201170212,0.9316701644822688,1.0519007463974595
2021-03-11,5452.2848,67909950028.0,84214271091.5,-1.575561462393425,-1,-1,0.02450515763110772,-0.02450515763110772,0.9545008887231069,1.0261237527947098
2021-03-12,5469.1625,66132261320.0,83578362633.35,-1.6272290729760976,-1,-1,0.003095527951878063,-0.003095527951878063,0.9574555729042418,1.0229473580358477
2021-03-15,5382.1092,69355122382.0,83546652323.1,-1.4961080984954314,-1,-1,-0.015917117108880996,0.015917117108880996,0.9422156404237743,1.0392297309299248
2021-03-16,5430.0354,58947645109.0,82393453702.2,-1.621411916618224,-1,-1,0.00890472456411695,-0.00890472456411695,0.950605811181751,1.0299756764171524
2021-03-17,5457.8584,58524133426.0,81212794734.5,-1.6936831023444756,-1,-1,0.005123907663659111,-0.005123907663659111,0.9554766275827841,1.024698176155376
2021-03-18,5493.3516,59883900589.0,78327099757.9,-2.0493119610395207,-1,-1,0.006503136834770107,-0.006503136834770107,0.9616902228343795,1.0180344237014982
2021-03-19,5389.634,60784601406.0,76055004058.25,-2.1551778944523994,-1,-1,-0.018880568285488897,0.018880568285488897,0.943532964912668,1.0372554921551727
2021-03-22,5456.4008,62353117078.0,72469468042.1,-2.3994519069088063,-1,-1,0.012388002599063475,-0.012388002599063475,0.9552214537343082,1.0244059684224616
2021-03-23,5397.6099,60729264132.0,70901904471.5,-2.262995014071994,-1,-1,-0.010774666699704283,0.010774666699704283,0.944929260945914,1.0354436012974015
2021-03-24,5318.9723,60059577875.0,69008053881.7,-2.210967879322693,-1,-1,-0.014568966905148195,0.014568966905148195,0.9311626178154868,1.0505289448568507
2021-03-25,5318.0582,48880257662.0,67216738482.95,-2.1341302434592295,-1,-1,-0.0001718565069421807,0.0001718565069421807,0.9310025914605939,1.0507094850917553
