date,close,up_ratio,factor_ma,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2017-01-03,4831.6894,0.8113094929307632,,0,0,,,1.0,1.0
2017-01-04,4879.9918,0.822418019708978,,0,0,0.009997000221082075,0.0,1.009997000221082,1.0
2017-01-05,4881.3478,0.4984669272913125,,0,0,0.0002778693193705717,0.0,1.0102776474000998,1.0
2017-01-06,4850.9355,0.3517440142015562,,0,0,-0.0062303079489643975,-0.0,1.0039833065428418,1.0
2017-01-09,4875.4268,0.6893219667770808,,0,0,0.005048778735565751,0.0,1.0090521961117784,1.0
2017-01-10,4861.7697,0.4233560847823556,,0,0,-0.0028012111678100693,-0.0,1.0062256278311268,1.0
2017-01-11,4818.1154,0.2767282661641979,,0,0,-0.008979096644581963,-0.0,0.997190630672576,1.0
2017-01-12,4782.3159,0.328618500226685,,0,0,-0.00743018733009182,-0.0,0.9897813174828664,1.0
2017-01-13,4741.0786,0.267631849946382,,0,0,-0.008622872445544605,-0.0,0.9812465594332285,1.0
2017-01-16,4645.3297,0.3000946841432019,,0,0,-0.02019559431054352,-0.0,0.9614297020002983,1.0
2017-01-17,4675.6049,0.7538028793948154,,0,0,0.006517341492467077,0.0,0.9676956676892351,1.0
2017-01-18,4675.0285,0.4879810157434653,,0,0,-0.00012327816663892932,-0.0,0.967576371941458,1.0
2017-01-19,4656.8169,0.3942559043597466,,0,0,-0.0038955056637623997,-0.0,0.9638071727044374,1.0
2017-01-20,4711.3067,0.906338062952738,,0,0,0.01170108277179649,0.0,0.9750847602083031,1.0
2017-01-23,4741.0166,0.7475489323892401,,0,0,0.0063060848914802126,0.0,0.9812337274825653,1.0
2017-01-24,4732.8994,0.4474042862976463,,0,0,-0.0017121222482113785,-0.0,0.979553735387047,1.0
2017-01-25,4746.1193,0.5915962454482407,,0,0,0.00279319268860867,0.0,0.9822898177188295,1.0
2017-01-26,4770.4328,0.6346424620934074,,0,0,0.005122816866402591,0.0,0.987321908564735,1.0
2017-02-03,4748.2135,0.4381314098578331,,0,0,-0.004657711560259181,-0.0,0.9827232478975159,1.0
2017-02-06,4780.5005,0.8057123303167854,,0,0,0.006799820606213425,0.0,0.9894055896887743,1.0
2017-02-07,4778.2847,0.5156378439411539,,0,0,-0.0004635079527760544,-0.0,0.9889469923294325,1.0
2017-02-08,4806.6914,0.7531862394005321,,0,0,0.00594495761209024,0.0,0.9948262402794351,1.0
2017-02-09,4835.2602,0.6995331185888622,,0,0,0.005943547780079994,0.0,1.0007390375714134,1.0
2017-02-10,4842.2997,0.5194293681597238,,0,0,0.0014558678765621558,0.0,1.0021959813890353,1.0
2017-02-13,4872.1071,0.7414046691635313,,0,0,0.006155628905001542,0.0,1.00836512794055,1.0
2017-02-14,4870.5817,0.5399038541155055,,0,0,-0.00031308835554955117,-0.0,1.0080494205608497,1.0
2017-02-15,4836.7627,0.379646184628808,,0,0,-0.006943523809486596,-0.0,1.0010500054080462,1.0
2017-02-16,4867.2191,0.7305922119034568,,0,0,0.0062968563663461374,0.0,1.0073534735076308,1.0
2017-02-17,4831.8405,0.3288777276800129,,0,0,-0.007268750239741606,-0.0,1.0000312727055678,1.0
2017-02-20,4888.0955,0.7441809898349148,,0,0,0.0116425614628628,0.0,1.0116741982628272,1.0
2017-02-21,4918.3583,0.7206305469924504,,0,0,0.0061911229025699566,0.0,1.0179375975616314,1.0
2017-02-22,4935.1915,0.5993251592127452,,0,0,0.003422524137779881,0.0,1.0214215135600397,1.0
2017-02-23,4923.2998,0.4836351317628033,,0,0,-0.002409572151354289,-0.0,1.0189603247261714,1.0
2017-02-24,4930.0642,0.5797563424912098,,0,0,0.0013739565484109928,0.0,1.0203603319369,1.0
2017-02-27,4891.9059,0.3352386789701971,,0,0,-0.00773991949232633,-0.0,1.0124628251145449,1.0
2017-02-28,4906.2687,0.6753592311593811,,0,0,0.0029360335815127314,0.0,1.0154354499691145,1.0
2017-03-01,4917.19,0.568486142387052,,0,0,0.002225988967950343,0.0,1.0176957980784114,1.0
2017-03-02,4885.967,0.3799675146487427,,0,0,-0.006349764804695401,-0.0,1.0112336691178867,1.0
2017-03-03,4888.7789,0.517972449057666,,0,0,0.0005755053196225823,0.0,1.0118156394738456,1.0
2017-03-06,4929.7997,0.8196679012125059,,0,0,0.00839080695590444,0.0,1.0203055891796355,1.0
2017-03-07,4940.1409,0.5813908183283492,,0,0,0.0020976917175763443,0.0,1.0224458757634545,1.0
2017-03-08,4926.4341,0.4354697377635157,,0,0,-0.0027745767332263416,-0.0,1.019609021225578,1.0
2017-03-09,4892.8284,0.3682203058140483,,0,0,-0.006821506046330805,-0.0,1.0126537521223942,1.0
2017-03-10,4894.7714,0.5296871263108242,,0,0,0.00039711182186552563,0.0,1.0130558888988184,1.0
2017-03-13,4933.2447,0.7555543179919969,,0,0,0.007860081065277136,0.0,1.0210185903092195,1.0
2017-03-14,4927.2019,0.4692157739038385,,0,0,-0.0012249138989598451,-0.0,1.0197679304468534,1.0
2017-03-15,4928.4565,0.5223098123681998,,0,0,0.0002546272763859214,0.0,1.0200275911775287,1.0
2017-03-16,4966.2786,0.854664570197737,,0,0,0.00767422822946684,0.0,1.0278555157125784,1.0
2017-03-17,4923.5308,0.3053138087200667,,0,0,-0.008607612146446897,-0.0,1.0190081340907384,1.0
2017-03-20,4934.9489,0.6148133018819663,,0,0,0.0023190877571031,0.0,1.0213713033788967,1.0
2017-03-21,4950.6689,0.592440805988161,,0,0,0.003185443318369341,0.0,1.0246248237728193,1.0
2017-03-22,4927.7464,0.4946269159183222,,0,0,-0.004630182398180471,-0.0,1.0198806239490477,1.0
2017-03-23,4936.2589,0.5284319279010461,,0,0,0.0017274630853567619,0.0,1.0216424300783902,1.0
2017-03-24,4962.3716,0.6371368558021376,,0,0,0.005289977800799761,0.0,1.0270468958538599,1.0
2017-03-27,4946.9921,0.4563722189176915,,0,0,-0.0030992237663136635,-0.0,1.023863847705111,1.0
2017-03-28,4934.1653,0.4153541708972617,,0,0,-0.002592848288559213,-0.0,1.021209124079871,1.0
2017-03-29,4915.4516,0.4280395331799,,0,0,-0.003792677963180391,-0.0,1.0173360067391746,1.0
2017-03-30,4844.4575,0.2436341799035028,,0,0,-0.014443047308206558,-0.0,1.0026425746654988,1.0
2017-03-31,4863.5147,0.5700128318084614,,0,0,0.003933815086621939,0.0,1.0065867851522075,1.0
2017-04-05,4949.5901,0.8661148299493673,0.5546389747314013,0,0,0.017698188513751267,0.0,1.024401547831282,1.0
2017-04-06,4965.0753,0.5848694709198612,0.550864974364553,0,0,0.0031285823042195293,0.0,1.0276064723862421,1.0
2017-04-07,4970.4036,0.5009480060434988,0.5455071408034616,0,0,0.0010731559297800786,0.0,1.0287092543655638,1.0
2017-04-10,4942.5867,0.4670417864237865,0.5449833884556695,0,0,-0.00559650729369332,-0.0,1.0229520755204171,1.0
