date,close,net_top20,factor_ma,z,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2016-01-04,5156.0202,-714,,,0,0,,,1.0,1.0
2016-01-05,5101.9742,-1578,,,0,0,-0.010482115644155243,-0.0,0.9895178843558448,1.0
2016-01-06,5219.8111,-604,,,0,0,0.0230963339642134,0.0,1.0123721198764892,1.0
2016-01-07,4809.708,-400,,,0,0,-0.07856665541019292,-0.0,0.9328334283872666,1.0
2016-01-08,4874.6499,-584,-776.0,,0,0,0.013502254190899121,0.0,0.9454287824551193,1.0
2016-01-11,4571.9722,-96,-652.4,,0,0,-0.062092192508019894,-0.0,0.8867250364922932,1.0
2016-01-12,4583.3608,-760,-488.8,,0,0,0.0024909600281473043,0.0,0.888933833114153,1.0
2016-01-13,4446.6713,-714,-510.8,,0,0,-0.029822984915348627,-0.0,0.8624231728184466,1.0
2016-01-14,4578.4616,-2450,-920.8,,0,0,0.029637967618609373,0.0,0.887983642887978,1.0
2016-01-15,4420.9882,-732,-950.4,,0,0,-0.03439439133878508,-0.0,0.8574419859720489,1.0
2016-01-18,4478.9933,-2230,-1377.2,,0,0,0.013120392404575965,0.0,0.8686919612921611,1.0
2016-01-19,4634.161,-1864,-1598.0,,0,0,0.03464343204085618,0.0,0.8987864322176241,1.0
2016-01-20,4583.3879,-1390,-1733.2,,0,0,-0.010956265869916937,-0.0,0.8889390891059737,1.0
2016-01-21,4414.2315,-1368,-1516.8,,0,0,-0.036906411521486104,-0.0,0.8561315372658936,1.0
2016-01-22,4474.6314,-2500,-1870.4,,0,0,0.013682993291131318,0.0,0.8678459793466288,1.0
2016-01-25,4514.4154,-1560,-1736.4,,0,0,0.008891011670816074,0.0,0.8755620080774704,1.0
2016-01-26,4204.8792,-1086,-1580.8,,0,0,-0.0685661758109366,-0.0,0.8155280694982538,1.0
2016-01-27,4169.1918,-1714,-1645.6,,0,0,-0.00848714036779008,-0.0,0.8086065682985493,1.0
2016-01-28,4013.1212,-1802,-1732.4,,0,0,-0.03743425764197261,-0.0,0.7783369816898701,1.0
2016-01-29,4154.9111,-2996,-1831.6,,0,0,0.03533157682852939,0.0,0.8058368545569314,1.0
2016-02-01,4097.0781,-812,-1682.0,,0,0,-0.013919190713851948,-0.0,0.7946202576941029,1.0
2016-02-02,4218.685,-2014,-1867.6,,0,0,0.029681372195467848,0.0,0.8182056773167802,1.0
2016-02-03,4224.5214,-1954,-1915.6,,0,0,0.00138346427856062,0.0,0.8193376356438634,1.0
2016-02-04,4299.5391,-2496,-2054.4,,0,0,0.017757680195441772,0.0,0.8338871713497166,1.0
2016-02-05,4261.1126,-2226,-1900.4,,0,0,-0.008937353308404505,-0.0,0.8264344270800181,1.0
2016-02-15,4252.9029,-1950,-2128.0,,0,0,-0.0019266564324069702,-0.0,0.8248421718751219,1.0
2016-02-16,4412.0325,-3002,-2325.6,,0,0,0.03741670189554536,0.0,0.8557050455310475,1.0
2016-02-17,4465.1662,-2372,-2409.2,,0,0,0.012042907662171531,0.0,0.8660102223804322,1.0
2016-02-18,4453.3982,-1874,-2284.8,,0,0,-0.0026355122010911503,-0.0,0.8637278418730789,1.0
2016-02-19,4466.1619,-2178,-2275.2,,0,0,0.002866058552770001,0.0,0.8662033364415449,1.0
2016-02-22,4561.689,-2356,-2356.4,,0,0,0.021389081304912017,0.0,0.8847306300312792,1.0
2016-02-23,4528.7345,-2004,-2156.8,,0,0,-0.00722418823378812,-0.0,0.8783391694237352,1.0
2016-02-24,4550.3457,-1500,-1982.4,,0,0,0.004772017436659226,0.0,0.8825306192555261,1.0
2016-02-25,4227.4597,-820,-1771.6,,0,0,-0.07095856475256368,-0.0,0.8199075131629627,1.0
2016-02-26,4241.591,-1244,-1584.8,,0,0,0.003342740322279214,0.0,0.8226482510677522,1.0
2016-02-29,4056.6096,-1604,-1434.4,,0,0,-0.04361132414700064,-0.0,0.7867714715314733,1.0
2016-03-01,4140.2688,-1324,-1298.4,,0,0,0.020622935961104094,0.0,0.8029970092048905,1.0
2016-03-02,4330.4674,-1546,-1307.6,,0,0,0.04593870813411938,0.0,0.8398856544433247,1.0
2016-03-03,4340.9949,-1316,-1406.8,,0,0,0.0024310308859498697,0.0,0.8419274424099427,1.0
2016-03-04,4280.6192,-274,-1212.8,,0,0,-0.013908263287754519,-0.0,0.8302176938717194,1.0
2016-03-07,4343.7795,-1006,-1093.2,,0,0,0.014754944798640146,0.0,0.8424675101156509,1.0
2016-03-08,4361.6316,-482,-924.8,,0,0,0.004109808060008602,0.0,0.8459298898790196,1.0
2016-03-09,4283.7656,-180,-651.6,,0,0,-0.017852493548515147,-0.0,0.8308279319774583,1.0
2016-03-10,4207.4331,458,-296.8,,0,0,-0.01781901885574677,-0.0,0.8160233933916708,1.0
2016-03-11,4203.8925,496,-142.8,,0,0,-0.000841510706373505,-0.0,0.8153367009694805,1.0
2016-03-14,4317.6649,-172,24.0,,0,0,0.027063584523153272,0.0,0.837402634690997,1.0
2016-03-15,4303.3734,36,127.6,,0,0,-0.003310006758514117,-0.0,0.8346308263105723,1.0
2016-03-16,4287.4165,1152,394.0,,0,0,-0.00370799800918975,-0.0,0.8315360168682043,1.0
2016-03-17,4392.5355,336,369.6,,0,0,0.024518028514374457,0.0,0.8519236406405083,1.0
2016-03-18,4514.164,-1242,22.0,,0,0,0.02768981605271037,0.0,0.8755132495407993,1.0
2016-03-21,4631.2287,-1274,-198.4,,0,0,0.025932752997011255,0.0,0.8982177183867516,1.0
2016-03-22,4610.1958,-356,-276.8,,0,0,-0.00454153775649202,-0.0,0.894138428705148,1.0
