date,open,close,intercept_future,beta_tau,n_contracts,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2022-01-04,5991.9118,5958.7424,0.00389431767810886,-0.017938712447765248,4,,0,0,0,0,0.0,,,1.0,1.0,
2022-01-05,5949.0112,5868.5773,0.003577778896494145,-0.017066690179576318,4,,0,0,0,0,0.0,-0.0,-0.015131565345063436,0.9848684346549366,1.0,-0.015131565345063436
2022-01-06,5837.8048,5855.5322,0.0019550625265617894,-0.021400349592765645,4,,0,0,0,0,0.0,-0.0,-0.0022228726543314092,0.9826791975434279,1.0,-0.0022228726543314092
2022-01-07,5860.0351,5811.6127,0.0032947681454203017,-0.018363126231222264,4,,0,0,0,0,0.0,-0.0,-0.00750051378762806,0.9753085986734381,1.0,-0.00750051378762806
2022-01-10,5798.8097,5839.6362,0.0019252589992179746,-0.018490831876504348,4,,0,0,0,0,0.0,0.0,0.004821983405742136,0.980011520551719,1.0,0.004821983405742136
2022-01-11,5837.2084,5787.4922,0.0020460726884588016,-0.014811249297747542,4,,0,0,0,0,0.0,-0.0,-0.008929323371205888,0.9712606807772055,1.0,-0.008929323371205888
2022-01-12,5812.0979,5857.3065,0.002940697934286094,-0.012050061022368932,4,,0,0,0,0,0.0,0.0,0.012062962261962129,0.9829769617159486,1.0,0.012062962261962129
2022-01-13,5863.9978,5768.851,0.0015713768748234615,-0.01130803504126791,4,,0,0,0,0,0.0,-0.0,-0.015101736608797878,0.968132302547598,1.0,-0.015101736608797878
2022-01-14,5743.459,5746.2261,0.0005934723187504744,-0.014295470646526766,4,,0,0,0,0,0.0,-0.0,-0.003921907499430999,0.9643353772097951,1.0,-0.003921907499430999
2022-01-17,5751.1105,5814.1059,0.00037735324930268004,-0.014661963788086157,4,,0,0,0,0,0.0,0.0,0.011812935797983926,0.9757270091084991,1.0,0.011812935797983926
2022-01-18,5815.196,5823.329,0.0011099356537615224,-0.016651203936317596,4,,0,0,0,0,0.0,0.0,0.0015863316146340622,0.9772748357103003,1.0,0.0015863316146340622
2022-01-19,5814.0709,5784.1156,0.003122498760378652,-0.013935525569928773,4,,0,0,0,0,0.0,-0.0,-0.006733845880938505,0.9706940175833076,1.0,-0.006733845880938505
2022-01-20,5782.5135,5756.5159,0.0019024172952587944,-0.009126156826886002,4,,0,0,0,0,0.0,-0.0,-0.004771636998402995,0.9660622180948787,1.0,-0.004771636998402995
2022-01-21,5739.6558,5695.0172,0.007115699333849689,-0.013147376466266696,3,,0,0,0,0,0.0,-0.0,-0.010683319749016928,0.9557414665215266,1.0,-0.010683319749016928
2022-01-24,5664.6296,5704.3887,0.007463876493224641,-0.02567239369368536,4,,0,0,0,0,0.0,0.0,0.0016455613163028904,0.957314197707221,1.0,0.0016455613163028904
2022-01-25,5679.3794,5531.8751,0.006183873786129094,-0.025752280033325196,4,,0,0,0,0,0.0,-0.0,-0.030242258911984732,0.9283628538800404,1.0,-0.030242258911984732
2022-01-26,5550.5239,5568.443,0.005140924619124479,-0.026350134306255997,4,,0,0,0,0,0.0,0.0,0.006610398705495069,0.9344997024875586,1.0,0.006610398705495069
