date,open,close,signal_mean,signal_raw,pos_target,pos,pos_prev,turnover_units,cost,index_ret,strat_ret,index_nav,strat_nav
2021-01-04,5632.8679,5712.1841,0.0,0,0,0,0,0,0.0,,,1.0,1.0
2021-01-05,5691.3423,5780.6687,0.0,0,0,0,0,0,0.0,0.011989214423253625,0.0,1.0119892144232536,1.0
2021-01-06,5793.436,5791.312,0.0,0,0,0,0,0,0.0,0.0018411883732412093,0.0,1.0138524771986952,1.0
2021-01-07,5791.3952,5819.752,0.0,0,0,0,0,0,0.0,0.00491080432206048,0.0,1.0188313083256544,1.0
2021-01-08,5826.0093,5804.6007,0.0,0,0,0,0,0,0.0,-0.0026034270876148513,-0.0,1.0161788552998492,1.0
2021-01-11,5810.5267,5726.6583,0.125,0,0,0,0,0,0.0,-0.013427693656860806,-0.0,1.0025339169303034,1.0
2021-01-12,5704.5966,5851.0088,0.125,0,0,0,0,0,0.0,0.021714321596593145,0.0,1.0243032608140201,1.0
2021-01-13,5860.2993,5812.2742,0.125,0,0,0,0,0,0.0,-0.00662015753591072,-0.0,1.0175222118628842,1.0
2021-01-14,5788.2353,5735.211,0.0,0,0,0,0,0,0.0,-0.013258700011090307,-0.0,1.0040311901011731,1.0
2021-01-15,5731.9143,5740.2818,0.0,0,0,0,0,0,0.0,0.0008841523005866936,0.0,1.004918906587762,1.0
2021-01-18,5724.4291,5817.5207,0.0,0,0,0,0,0,0.0,0.013455593765449025,0.0,1.0184406871620262,1.0
2021-01-19,5820.6391,5755.5835,0.0,0,0,0,0,0,0.0,-0.010646666027333662,-0.0,1.0075976892971639,1.0
2021-01-20,5758.2248,5804.3862,0.0,0,0,0,0,0,0.0,0.008479192422453874,0.0,1.0161413039891345,1.0
2021-01-21,5815.8734,5884.7249,0.0,0,0,0,0,0,0.0,0.013841032838235456,0.0,1.0302057491459355,1.0
2021-01-22,5879.5395,5885.3459,0.0,0,0,0,0,0,0.0,0.00010552744785052859,0.0,1.0303144641294038,1.0
2021-01-25,5877.8532,5902.0349,0.0,0,0,0,0,0,0.0,0.002835687193848635,0.0,1.0332361136609725,1.0
2021-01-26,5876.8583,5791.2593,0.0,0,0,0,0,0,0.0,-0.01876905200950263,-0.0,1.0138432513055733,1.0
2021-01-27,5784.9605,5805.7559,0.0,0,0,0,0,0,0.0,0.0025031861377715625,0.0,1.0163810896781147,1.0
2021-01-28,5730.2162,5665.264,-0.125,0,0,0,0,0,0.0,-0.024198726646430302,-0.0,0.991785961520393,1.0
2021-01-29,5700.2831,5615.5745,-0.125,0,0,0,0,0,0.0,-0.008770906351407537,-0.0,0.983087099731257,1.0
2021-02-01,5611.9708,5667.7869,-0.25,-1,0,0,0,0,0.0,0.009297784224926664,0.0,0.9922276314588672,1.0
2021-02-02,5677.2864,5742.1967,-0.25,-1,-1,-1,0,1,0.0007999999999999999,0.01312854581741596,-0.0007999999999999999,1.005254137379781,0.9992
2021-02-03,5740.9665,5706.4827,-0.125,0,-1,-1,-1,0,0.0,-0.0062195709875283445,0.0062195709875283445,0.9990018879118409,1.0054145953307383
2021-02-04,5679.0094,5660.392,-0.125,0,0,-1,-1,0,0.0,-0.008076901731429054,0.008076901731429054,0.9909330478336649,1.0135352302165692
2021-02-05,5677.5773,5628.4284,-0.125,0,0,-1,-1,0,0.0,-0.0056468880600495375,0.0056468880600495375,0.9853373598375444,1.0192585502065188
2021-02-08,5645.1773,5702.5332,-0.125,0,0,-1,-1,0,0.0,0.013166161978715119,-0.013166161978715119,0.998310471120845,1.0058388270363094
2021-02-09,5718.7636,5826.2763,-0.125,0,0,0,-1,1,0.0007999999999999999,0.021699671998402392,-0.02249967199840239,1.019973480896738,0.9832077833447347
2021-02-10,5845.1461,5918.5922,0.0,0,0,0,0,0,0.0,0.015844751475311947,0.0,1.0361347072129556,0.9832077833447347
2021-02-18,6028.9691,5930.6106,0.25,1,0,0,0,0,0.0,0.0020306180243334637,0.0,1.0382387010250598,0.9832077833447347
2021-02-19,5904.8633,5977.4226,0.0,0,1,0,0,0,0.0,0.007893285052301247,0.0,1.0464338150445816,0.9832077833447347
2021-02-22,5991.0688,5863.7441,-0.125,0,0,0,0,0,0.0,-0.019017979421431574,-0.0,1.0265327582841737,0.9832077833447347
2021-02-23,5815.8045,5839.8954,-0.375,-1,0,0,0,0,0.0,-0.0040671454267589,-0.0,1.0223577002709,0.9832077833447347
2021-02-24,5846.7715,5727.2327,-0.125,0,-1,-1,0,1,0.0007999999999999999,-0.01929190375567358,-0.0007999999999999999,1.0026344739134019,0.9824212171180589
2021-02-25,5780.9282,5729.9131,-0.375,-1,0,-1,-1,0,0.0,0.0004680096200735395,-0.0004680096200735395,1.0031037164926107,0.9819614345374833
2021-02-26,5609.8639,5617.6694,-0.375,-1,-1,-1,-1,0,0.0,-0.0195890754433955,0.0195890754433955,0.9834538421126865,1.0011971511611428
2021-03-01,5664.7134,5723.7588,-0.375,-1,-1,-1,-1,0,0.0,0.01888494897901971,-0.01888494897901971,1.0020263177442055,0.9822895940435248
2021-03-02,5753.7445,5665.895,-0.375,-1,-1,-1,-1,0,0.0,-0.010109405728277565,0.010109405728277565,0.9918964271477173,0.9922199580923758
2021-03-03,5648.0934,5759.4494,-0.375,-1,-1,-1,-1,0,0.0,0.016511848525255113,-0.016511848525255113,1.0082744707055222,0.9758365724406196
2021-03-04,5706.6237,5611.5937,-0.25,-1,-1,-1,-1,0,0.0,-0.025671846340033833,0.025671846340033833,0.9823902034249912,1.0008880989813005
2021-03-05,5532.7077,5607.5509,-0.5,-1,-1,-1,-1,0,0.0,-0.0007204370480350386,0.0007204370480350386,0.9816824531268171,1.0016091758487438
2021-03-08,5645.4243,5446.469,-0.25,-1,-1,-1,-1,0,0.0,-0.028725891725744357,0.028725891725744357,0.953482749269233,1.030381292585687
2021-03-09,5431.406,5317.1495,-0.25,-1,-1,-1,-1,0,0.0,-0.023743731948166702,0.023743731948166702,0.9308435104533833,1.054846389801247
2021-03-10,5387.0972,5321.8715,-0.5,-1,-1,-1,-1,0,0.0,0.0008880698201170212,-0.0008880698201170212,0.9316701644822688,1.053909612557605
2021-03-11,5337.3838,5452.2848,-0.5,-1,-1,-1,-1,0,0.0,0.02450515763110772,-0.02450515763110772,0.9545008887231069,1.0280833913729412
2021-03-12,5472.9631,5469.1625,-0.25,-1,-1,-1,-1,0,0.0,0.003095527951878063,-0.003095527951878063,0.9574555729042418,1.0249009304980847
2021-03-15,5441.9671,5382.1092,-0.5,-1,-1,-1,-1,0,0.0,-0.015917117108880996,0.015917117108880996,0.9422156404237743,1.0412143986338238
2021-03-16,5395.9047,5430.0354,-0.5,-1,-1,-1,-1,0,0.0,0.00890472456411695,-0.00890472456411695,0.950605811181751,1.031942671201797
2021-03-17,5414.8452,5457.8584,-0.375,-1,-1,-1,-1,0,0.0,0.005123907663659111,-0.005123907663659111,0.9554766275827841,1.0266550922403692
2021-03-18,5466.7906,5493.3516,-0.5,-1,-1,-1,-1,0,0.0,0.006503136834770107,-0.006503136834770107,0.9616902228343795,1.0199786136934166
